hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,66,0.01,1.01,10.7666015625,nan,18.09157755035801,nan,nan,nan,bad_zeta,0.41,1.01
2,72810,1.6110204081632653,2.6110204081632653,796.728515625,0.00048065753400105974,15.541443190220281,0.9960169816416523,-1.6610454806054742,-2.4061682040721895,,1.8110204081632653,2.035736961451247
3,210367,4.730226757369614,5.730226757369614,796.728515625,0.0005292164093588,16.04044179622282,0.9975122707974233,-1.1660833130689272,-2.6492535894997307,,4.930226757369614,5.15750566893424
4,348220,7.856145124716553,8.856145124716553,796.728515625,0.0005454220283041064,16.84161328060137,0.9981554163830053,-0.9888711179430529,-2.7303788029316713,,8.056145124716554,8.304376417233561
5,478864,10.81859410430839,11.81859410430839,796.728515625,0.0005275371853346923,15.929297509944316,0.9978717629203341,-1.11027781693588,-2.6408474059521883,,11.018594104308391,11.241814058956917
6,618732,13.990204081632653,14.990204081632653,796.728515625,0.0004874624853511933,15.456662352590854,0.9969936338791748,-1.3360502117631232,-2.440233742237484,,14.190204081632654,14.413696145124717
7,751384,16.998185941043086,17.998185941043086,796.728515625,0.0005337750438160299,16.944329066808635,0.9974129309440661,-1.174935970951699,-2.672074081240843,,17.198185941043086,17.463809523809523
8,883356,19.99074829931973,20.99074829931973,796.728515625,0.0005046030261016257,15.6446387176085,0.9977856932074294,-1.16948708433549,-2.5260391675909193,,20.19074829931973,20.414467120181406
9,1007144,22.797732426303856,23.797732426303856,796.728515625,0.000443481543019613,14.237468400946657,0.999175268757336,-1.574810435605585,-2.2200654570501603,,22.997732426303855,23.197392290249432
10,1121283,25.38591836734694,26.38591836734694,796.728515625,0.0005019120418476731,15.853793067682616,0.9980814103748031,-1.266140948566626,-2.5125681195130474,,25.585918367346938,25.821995464852606
11,1241219,28.105555555555558,29.105555555555558,796.728515625,0.0005403182126364367,16.97300162248894,0.9977407586419397,-1.0518798008464376,-2.7048291379201475,,28.305555555555557,28.57111111111111
12,1371115,31.05104308390023,32.051043083900225,796.728515625,0.0005604545906902948,17.616931911401235,0.9984156906925404,-1.011017237751619,-2.8056317035536313,,31.25104308390023,31.53766439909297
13,1494106,33.839954648526074,34.839954648526074,796.728515625,0.0005251993025353107,16.15541571658613,0.9984779784498308,-1.065660238532496,-2.629143981250003,,34.03995464852608,34.274807256235825
